dado1,dado2,dado3,dado4,dado5,dado6,dado7,dado8,dado9,dado10,dado11,dado12,dado13,dado14,dado15,dado16,dado17,dado18,dado19,dado20,dado21,dado22,dado23,dado24,dado25,dado26,dado27,dado28,dado29,dado30,dado31,dado32,dado33,dado34,dado35,dado36,dado37,dado38,dado39,dado40,dado41,dado42,dado43,dado44,dado45,dado46,dado47,dado48,dado49,dado50,dado51,dado52,dado53,dado54,dado55,dado56,dado57,dado58,dado59,dado60
28,32,25,18,38,26,26,34,34,36,30,26,26,28,17,21,24,33,29,27,29,30,27,23,31,22,33,26,18,36,20,29,24,25,38,33,26,32,24,34,20,23,34,26,28,32,31,27,23,28,22,26,31,23,31,31,31,31,27,25
29,28,28,31,31,33,28,33,26,27,32,29,27,28,32,26,26,26,24,31,24,22,37,26,29,24,33,26,31,27,33,23,32,29,31,28,34,30,33,21,30,29,35,33,36,40,30,32,28,24,37,35,26,29,27,26,26,43,22,28
27,26,31,33,34,23,29,27,29,36,23,32,17,27,30,24,21,20,27,31,26,26,22,34,34,22,21,36,20,24,24,28,27,32,26,19,34,23,25,21,28,20,34,23,24,29,20,33,28,32,27,35,33,25,21,28,20,34,24,25
29,26,26,15,31,26,28,22,24,21,30,19,34,25,19,26,26,16,22,20,22,15,34,30,26,23,38,21,23,34,23,28,25,36,24,25,27,30,25,34,28,33,28,25,26,21,29,15,27,30,25,21,29,40,25,28,25,22,32,23
31,32,30,39,28,26,25,27,25,30,27,24,30,25,32,29,34,31,32,26,21,29,32,32,27,20,32,29,31,34,15,31,36,30,38,23,26,29,17,25,37,32,24,41,28,26,39,30,30,25,24,23,27,27,26,25,29,24,29,30
30,32,26,32,24,26,26,28,29,35,31,29,25,23,21,20,24,30,27,28,27,35,22,28,29,21,34,36,28,26,23,37,34,28,29,32,29,26,17,29,30,22,29,24,30,19,27,27,34,24,28,29,26,24,23,27,31,32,26,22
38,35,29,31,32,29,24,22,20,43,33,26,30,28,22,36,26,25,23,25,22,23,38,25,28,23,24,33,28,40,25,34,26,30,35,29,36,26,32,12,26,23,28,36,20,36,29,22,27,33,34,27,37,28,19,26,29,24,26,28
31,24,32,25,23,20,32,24,30,41,32,28,29,31,24,28,24,25,29,26,30,33,25,24,26,26,24,25,31,42,31,30,39,35,31,33,24,25,27,22,30,29,26,39,25,29,23,32,30,26,28,25,25,32,19,28,27,22,27,23
24,29,24,22,43,33,25,31,33,31,36,29,31,30,31,39,39,28,41,35,24,33,35,31,36,25,43,34,32,32,31,33,46,34,42,29,26,28,31,28,40,36,33,35,30,30,35,26,23,27,34,29,31,37,27,32,29,30,30,33
32,26,27,30,32,37,30,27,28,35,28,32,24,32,19,31,38,38,38,37,18,30,24,31,23,18,31,36,31,30,26,35,31,48,24,21,19,14,22,33,28,20,42,29,27,26,31,25,23,31,19,24,35,24,24,32,33,32,24,27
25,25,24,27,27,23,15,19,21,26,30,22,25,19,22,24,20,21,22,28,26,21,22,21,21,13,29,31,31,29,23,27,23,26,21,27,22,28,20,25,28,16,18,27,21,25,32,20,22,27,28,35,28,21,19,28,19,23,20,26
33,19,33,36,29,26,24,23,28,36,38,24,38,36,25,28,25,30,29,31,17,21,30,27,18,20,24,35,27,27,33,28,37,29,38,28,34,30,30,25,23,42,30,30,31,39,25,30,25,32,32,26,34,27,24,31,29,30,22,35
33,26,29,29,25,20,27,34,17,31,28,24,36,24,20,30,30,22,24,19,23,27,28,27,24,25,25,33,23,22,24,27,39,25,31,23,35,34,24,20,32,30,23,36,29,23,16,37,30,31,23,27,29,30,27,34,25,22,18,31
24,26,26,29,41,27,24,32,19,30,25,25,28,31,20,24,29,25,25,25,22,28,26,33,28,23,28,28,21,36,33,23,35,27,31,30,35,25,24,20,30,29,23,32,20,28,35,20,29,25,25,30,28,23,34,32,22,24,26,26
26,28,23,35,29,26,19,37,24,35,22,22,34,21,27,28,27,23,27,26,24,33,30,26,22,36,21,24,29,30,19,24,32,28,33,32,33,31,33,30,39,30,29,26,21,23,32,19,31,30,21,32,32,27,23,23,20,28,27,22
25,24,35,26,30,26,25,20,27,26,32,17,38,23,18,28,26,23,26,33,16,18,31,26,26,28,31,29,27,29,23,20,23,19,27,35,30,30,29,26,30,29,32,27,29,29,22,19,35,26,37,23,37,28,21,28,22,37,26,26
